user_id,follow_user_num
0,514
1,457
2,8
3,91
4,261
5,15
6,75
7,2103
8,265
9,71
10,54
11,22
12,420
13,421
14,217
15,451
16,47
17,14
18,740
19,309
20,5
21,53
22,1533
23,1935
24,266
25,54
26,171
27,46
28,405
29,44
30,490
31,402
32,1486
33,553
34,253
35,336
36,1972
37,1011
38,476
39,444
40,331
41,355
42,23
43,47
44,263
45,989
46,127
47,506
48,40
49,196
50,68
51,190
52,51
53,30
54,601
55,71
56,329
57,1561
58,31
59,143
60,173
61,792
62,443
63,274
64,10
65,160
66,1595
67,168
68,118
69,327
70,101
71,141
72,61
73,28
74,26
75,150
76,4999
77,2
78,20
79,65
80,5
81,28
82,65
83,2340
84,1732
85,369
86,511
87,9
88,143
89,53
90,333
91,1454
92,2313
93,3
94,359
95,60
96,125
97,74
98,453
99,1075
100,259
101,184
102,94
103,59
104,950
105,126
106,214
107,363
108,823
109,464
110,289
111,12
112,10
113,2
114,1220
115,167
116,281
117,86
118,98
119,13
120,3
121,1028
122,202
123,210
124,64
125,105
126,143
127,66
128,162
129,90
130,40
131,73
132,1000
133,549
134,575
135,59
136,446
137,36
138,81
139,664
140,446
141,944
142,1002
143,104
144,59
145,112
146,10
147,366
148,191
149,163
150,32
151,205
152,87
153,2149
154,75
155,482
156,569
157,110
158,11
159,10
160,47
161,883
162,285
163,120
164,25
165,3130
166,242
167,1
168,28
169,38
170,1
171,93
172,229
173,654
174,29
175,319
176,131
177,2359
178,1234
179,1374
180,13
181,224
182,62
183,78
184,35
185,67
186,599
187,771
188,106
189,86
190,220
191,24
192,141
193,158
194,28
195,44
196,119
197,8
198,76
199,261
200,886
201,50
202,173
203,12
204,82
205,64
206,16
207,303
208,331
209,71
210,569
211,144
212,54
213,3717
214,936
215,331
216,39
217,5000
218,75
219,1251
220,237
221,165
222,142
223,5
224,31
225,16
226,79
227,161
228,4673
229,794
230,18
231,417
232,29
233,958
234,267
235,52
236,84
237,227
238,14
239,3
240,227
241,171
242,81
243,300
244,477
245,31
246,71
247,12
248,1119
249,1486
250,283
251,68
252,391
253,0
254,14
255,30
256,80
257,36
258,375
259,9
260,106
261,58
262,3520
263,215
264,376
265,133
266,396
267,161
268,173
269,37
270,398
271,56
272,681
273,0
274,944
275,63
276,1072
277,342
278,2260
279,28
280,808
281,318
282,17
283,8
284,143
285,767
286,38
